TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-047456-01-e.csv,,,,,,,,,,,,,,,,,,,
DATE: 08/16/2019,,,,,,,,,,,,,,,,,,,
DESIGN: 02_047456e_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_047456e\worklib\02_047456e_top\bom\bom.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08-047456d,PCB,?,?,?,?,?,?,Analog Devices Supplied,08-047456d,N/A,?,?,?,?,?,?,?
2,1,E017939,IC-ADI LOW COST LOW NOISE CMOS RRO OP AMP, AD8694ARZ,SO14NB-2,N/A,N/A,?,A2,ANALOG DEVICES, AD8694ARZ,REL,N/A,N/A,N/A,N/A,N/A,?,?
3,7,E016321,CONN-PCB TEST POINT YELLOW, YEL,CNKEY5001TP,N/A,N/A,N/A,"AIN1,CE0,EXC_P,SNS_N,SNS_P,TP1,TP3",KEYSTONE ELECTRONICS,5004,REL,N/A,N/A,N/A,N/A,6001623,?,?
4,7,E024444,"CAP CER X7R, AC VOLT LOW CAP CHANGE RATE", 1UF,C0603,10,10V,N/A,"C9,C10,C11,C13,C20,C30,C32",KEMET, C0603C105K8RACTU,REL,N/A,N/A,N/A,N/A,N/A,?,?
5,6,E014704,"CAP CER X5R, GENERAL PURPOSE", 10uF,C0805H60,10,25V,N/A,"C7,C12,C14,C15,C16,C17",MURATA, GRM21BR61E106KA73L,REL,N/A,N/A,N/A,N/A,7002498,?,?
6,2,E018426,CAP CER NP0, 6.8pF,C0805,0.25pF,50V,N/A,"C21,C22",KEMET, C0805C689C5GACTU,REL,N/A,N/A,N/A,N/A,7003407,?,?
7,3,E026762,"CAP CER X5R, GENERAL PURPOSE", 10UF,C0603,20,35V,N/A,"C25,C27,C29",MURATA, GRM188R6YA106MA73D,REL,N/A,N/A,N/A,N/A,N/A,?,?
8,2,E025743,"CAP CER X7R, AUTOMOTIVE GRADE", 1UF,C0603,10,25V,N/A,"C26,C28",TDK, CGA3E1X7R1E105K080AD,REL,N/A,N/A,N/A,N/A,N/A,?,?
9,6,E010425,CAP MULTILAYER CER X5R 0805, 2.2uF,C0805,10,10V,N/A,"C5,C6,C36,C37,C38,C39",TAIYO YUDEN, LMK212BJ225KD-T,REL,N/A,N/A,N/A,N/A,7002770,?,?
